#	RISK("!"), SLEEPER("$"), ROOKIE("R"), NEW_TEAM("@"), FAVORITE("*"), RISING("+"), FALLING("-"), INJURY_RISK("i"), BUST("B")
A.J. Dillon,R
A.J. Green,i
Aaron Rodgers,B
Adam Thielen,i
Adrian Peterson,C
Aldrick Rosas,C
Alex Smith,C
Allen Lazard,*$S
Alshon Jeffery,i
Amari Cooper,C
Andy Dalton,C
Andy Janovich,C
Anthony McFarland Jr.,R
Anthony Miller,S
Antonio Gandy-Golden,RC
Antonio Gibson,RCS
Austin Hooper,BC
Austin Seibert,C
Baker Mayfield,C
Ben Roethlisberger,i
Blake Jarwin,SC*
Brandon Aiyuk,R
Breshad Perriman,S
Bryan Edwards,R
Bryce Love,C
Calvin Ridley,^i
Cam Akers,RS
Cam Newton,i
Carlos Hyde,i
Carolina Panthers,C
Carson Wentz,$
Case Keenum,C
CeeDee Lamb,RC
Chandler Catanzaro,C
Chase Claypool,R
Chris Carson,i
Chris Godwin,i
Chris Herndon IV,$*
Chris Thompson,S
Christian McCaffrey,C
Cleveland Browns,C
Clyde Edwards-Helaire,R^*
Cody Latimer,C
Cole Kmet,R
Corey Coleman,C
Curtis Samuel,C*
D'Andre Swift,BR
D'Ernest Johnson,C
D.J. Chark,$
D.J. Moore,C
Dak Prescott,C
Dallas Cowboys,C
Dalton Schultz,C
Dalvin Cook,i
Damion Ratley,C
Daniel Jones,SC
Darius Slayton,SC
Darrell Henderson,B
Darrynton Evans,R
David Johnson,$
David Montgomery,$i
David Njoku,C
DeAndre Hopkins,B
DeSean Jackson,$*
DeVante Parker,B
DeeJay Dallas,R
Deebo Samuel,i
Denzel Mims,R
Derrius Guice,iC
Devin Duvernay,R
Devin Smith,C
Dion Lewis,C
Donovan Peoples-Jones,CR
Dontrell Hilliard,C
Dontrelle Inman,C
Dustin Hopkins,C
Dwayne Haskins,C
Elijhaa Penny,C
Eric Ebron,i
Evan Engram,^Ci
Ezekiel Elliott,C
Gardner Minshew II,S
Golden Tate,C$
Graham Gano,C
Greg Olsen,S
Greg Zuerlein,C
Hayden Hurst,S
Henry Ruggs III,R
Hunter Henry,B
Ian Thomas,C
J.D. McKissic,C
J.K. Dobbins,RS
Jalen Hurts,R
Jalen Reagor,RS
James Conner,i
Jamison Crowder,$*
Jared Cook,$*
Jared Goff,$
Jarvis Landry,iC
Jeremy Sprinkle,C
Jerry Jeudy,R
Joe Burrow,RS
Joey Slye,C
Jonathan Taylor,R
Jonnu Smith,S*
Jordan Howard,iS
Jordan Scarlett,C
Josh Allen,^
Josh Jacobs,^*
Joshua Kelley,R
JuJu Smith-Schuster,B
Justin Herbert,R
Justin Jackson,S
Justin Jefferson,R
KJ Hamler,R
Kaden Smith,C
Kai Forbath,C
Kareem Hunt,C$*
Ke'Shawn Vaughn,RS
Kenyan Drake,^*
Kyle Allen,C
Kyler Murray,^
Lamical Perine,R
Laviska Shenault Jr.,R
Le'Veon Bell,$
Leonard Fournette,B
Logan Thomas,C
Lynn Bowden Jr.,R
Mark Ingram II,$i
Marquise Brown,^*
Marvin Jones,$i
Matthew Stafford,$i
Michael Gallup,C
Michael Pittman Jr.,RS
Mike Davis,C
Mike Evans,Bi
Mike Gesicki,^
Mike Williams,i
Miles Sanders,^*i
New York Giants,C
New York Jets,C
Nick Chubb,C
Noah Fant,^
Odell Beckham Jr.,iC
Parris Campbell,*$
Peyton Barber,C
Philip Rivers,S
Preston Williams,i
Rashaad Penny,i
Rashard Higgins,C
Reggie Bonnafon,C
Richard Rodgers,C
Robby Anderson,C
Ronald Jones II,$
Ryan Tannehill,B
Sammy Watkins,$i
Saquon Barkley,C
Seth Roberts,C
Sony Michel,i
Stefon Diggs,B
Sterling Shepard,C
Steven Sims,C
T.J. Hockenson,i
T.Y. Hilton,$i
Taywan Taylor,C
Teddy Bridgewater,C
Tee Higgins,R
Terry McLaurin,^C
Tevin Coleman,$
Thaddeus Moss,CR
Todd Gurley,B
Tony Pollard,C
Trenton Cannon,C
Trey Quinn,C
Tua Tagovailoa,R
Tyler Higbee,B
Van Jefferson,R
Ventell Bryant,C
Washington Football Team,C
Wayne Gallman,C
Will Dissly,i
Will Fuller,i
Zack Moss,R
